订单 ID,订单日期,发货日期,产品名称,类别,子类别,客户名称,细分,国家,地区,城市,省/自治区,邮寄方式,销售额,利润,折扣,数量
US-2017-5313470,2017/5/21,2017/5/28,"Novimex 扶手椅, 可调",家具,椅子,洪毅,公司,中国,华东,苏州,江苏,标准级,"2,578",-129,40%,2
US-2017-5313470,2017/5/21,2017/5/28,"SAFCO 扶手椅, 每套两件",家具,椅子,洪毅,公司,中国,华东,苏州,江苏,标准级,"6,492",757,40%,5
CN-2017-3883671,2017/5/22,2017/5/22,"宜家 墙角架, 金属",家具,书架,秦梦,消费者,中国,西南,合川,重庆,当日,"2,859","1,143",0%,5
CN-2017-3883671,2017/5/22,2017/5/22,"Advantus 灯泡, 一包多件",家具,用具,秦梦,消费者,中国,西南,合川,重庆,当日,470,94,0%,5
CN-2017-3883671,2017/5/22,2017/5/22,"Enermax 闪存驱动器, 实惠",技术,配件,秦梦,消费者,中国,西南,合川,重庆,当日,388,167,0%,2
US-2017-1172542,2017/5/22,2017/5/23,"SanDisk 记忆卡, 回收",技术,配件,洪光,公司,中国,中南,台城,广东,当日,"1,029",483,0%,2
CN-2017-2828219,2017/5/22,2017/5/26,"施乐 信纸, 多色",办公用品,纸张,周诚,公司,中国,华北,集宁,内蒙古,标准级,"1,515",727,0%,7
US-2017-1070056,2017/5/22,2017/5/26,"Rubvermaid 闹钟, 黑色",家具,用具,叶实,公司,中国,中南,洛阳,广东,标准级,"1,404",70,0%,6
CN-2017-5360498,2017/5/22,2017/5/26,"Sauder 古典书架, 传统",家具,书架,徐健,公司,中国,华东,山城,山东,标准级,"8,138","2,034",0%,4
CN-2017-2828219,2017/5/22,2017/5/26,"诺基亚 充电器, 混合尺寸",技术,电话,周诚,公司,中国,华北,集宁,内蒙古,标准级,"8,945","1,043",40%,5
CN-2017-2166981,2017/5/22,2017/5/26,"Hewlett 复印机, 数字化",技术,复印机,蔡菊,消费者,中国,东北,沈阳,辽宁,二级,"7,373","-2,826",40%,10
CN-2017-2166981,2017/5/22,2017/5/26,"Enermax 鼠标, 回收",技术,配件,蔡菊,消费者,中国,东北,沈阳,辽宁,二级,960,-609,40%,9
CN-2017-1067897,2017/5/22,2017/5/26,"SanDisk 记忆卡, 实惠",技术,配件,宋立,消费者,中国,东北,舒兰,吉林,标准级,"2,623",524,0%,5
CN-2017-1246652,2017/5/23,2017/5/25,"Hon 圆形标签, 白色",办公用品,标签,陈忠,公司,中国,华北,北京,北京,一级,62,2,0%,2
CN-2017-1361457,2017/5/23,2017/5/27,"Green Bar 备忘录便条, 优质",办公用品,纸张,宋忠,小型企业,中国,华东,常州,江苏,标准级,237,102,0%,3
CN-2017-1361457,2017/5/23,2017/5/27,"施乐 笔记本, 多色",办公用品,纸张,宋忠,小型企业,中国,华东,常州,江苏,标准级,259,15,0%,2
CN-2017-5404138,2017/5/23,2017/5/28,"Cardinal 装订机盖, 耐用",办公用品,装订机,邵绅,消费者,中国,华北,临汾,山西,二级,315,13,0%,5
CN-2017-3704015,2017/5/23,2017/5/30,"OIC 图钉, 金属",办公用品,系固件,白欢,小型企业,中国,中南,洛阳,广东,标准级,199,69,0%,3
CN-2017-3704015,2017/5/23,2017/5/30,"Green Bar 令, 优质",办公用品,纸张,白欢,小型企业,中国,中南,洛阳,广东,标准级,278,72,0%,2
CN-2017-3704015,2017/5/23,2017/5/30,"Novimex 椅垫, 红色",家具,椅子,白欢,小型企业,中国,中南,洛阳,广东,标准级,"1,420",378,10%,6
CN-2017-5907567,2017/5/25,2017/5/26,"KitchenAid 烤面包机, 红色",办公用品,器具,万虹,消费者,中国,中南,济水,河南,一级,"1,194",167,0%,3
CN-2017-5907567,2017/5/25,2017/5/26,"Fiskars 尺子, 钢",办公用品,用品,万虹,消费者,中国,中南,济水,河南,一级,129,48,0%,2
CN-2017-5907567,2017/5/25,2017/5/26,"惠普 墨水, 数字化",技术,复印机,万虹,消费者,中国,中南,济水,河南,一级,"1,198",467,0%,2
CN-2017-1966706,2017/5/25,2017/5/27,"KitchenAid 炉灶, 黑色",办公用品,器具,陈莲,公司,中国,华北,唐山,河北,二级,"7,974","3,110",0%,3
CN-2017-5373243,2017/5/25,2017/5/29,"Binney & Smith 铅笔刀, 蓝色",办公用品,美术,廖保,公司,中国,西南,南充,四川,二级,100,-194,80%,4
CN-2017-5510381,2017/5/25,2017/5/29,"Hoover 微波炉, 银色",办公用品,器具,陈娟,消费者,中国,中南,蔡甸,湖北,标准级,"1,733",-809,40%,2
CN-2017-5373243,2017/5/25,2017/5/29,"摩托罗拉 信号增强器, 混合尺寸",技术,电话,廖保,公司,中国,西南,南充,四川,二级,817,-286,40%,2
CN-2017-4833083,2017/5/25,2017/5/30,"Enermax 笔记本, 多色",办公用品,纸张,巩荣,消费者,中国,华北,北京,北京,二级,837,410,0%,6
CN-2017-5940390,2017/5/25,2017/5/31,"SanDisk 令, 多色",办公用品,纸张,程根基,消费者,中国,中南,武汉,湖北,标准级,"1,019",438,0%,7
CN-2017-3664982,2017/5/25,2017/5/31,"Ames 局间信封, 红色",办公用品,信封,邓保,消费者,中国,西南,成都,四川,标准级,454,145,0%,2
CN-2017-5940390,2017/5/25,2017/5/31,"Bush 古典书架, 金属",家具,书架,程根基,消费者,中国,中南,武汉,湖北,标准级,"3,462","-2,077",40%,3
CN-2017-2375545,2017/5/26,2017/5/26,"Harbour Creations 有色标签, 耐用",办公用品,标签,宋立,消费者,中国,华北,保定,河北,当日,186,54,0%,3
CN-2017-2375545,2017/5/26,2017/5/26,"Safco 书架, 金属",家具,书架,宋立,消费者,中国,华北,保定,河北,当日,"4,849","1,793",0%,7
CN-2017-5591469,2017/5/26,2017/5/26,"诺基亚 充电器, 混合尺寸",技术,电话,邱谦,公司,中国,中南,揭阳,广东,当日,"17,889","8,408",0%,6
CN-2017-2375545,2017/5/26,2017/5/26,"摩托罗拉 音频基座, 混合尺寸",技术,电话,宋立,消费者,中国,华北,保定,河北,当日,"11,513","3,798",0%,14
CN-2017-1573785,2017/5/26,2017/5/28,"Eaton 羊皮纸, 回收",办公用品,纸张,顾升,小型企业,中国,中南,长沙,湖南,二级,250,12,0%,4
CN-2017-1573785,2017/5/26,2017/5/28,"Green Bar 计划信息表, 优质",办公用品,纸张,顾升,小型企业,中国,中南,长沙,湖南,二级,444,8,0%,4
CN-2017-5266113,2017/5/26,2017/5/28,"Office Star 凳子, 红色",家具,椅子,潘盛,消费者,中国,华东,厦门,福建,二级,"2,435","1,047",0%,3
CN-2017-5266113,2017/5/26,2017/5/28,"Hewlett 传真复印机, 数字化",技术,复印机,潘盛,消费者,中国,华东,厦门,福建,二级,"5,390","1,778",0%,6
CN-2017-5266113,2017/5/26,2017/5/28,"SanDisk 闪存驱动器, 耐用",技术,配件,潘盛,消费者,中国,华东,厦门,福建,二级,557,273,0%,3
CN-2017-5907567,2017/5/26,2017/5/29,"诺基亚 充电器, 整包",技术,电话,田武,公司,中国,中南,宜城,湖北,一级,"3,562",-416,40%,2
CN-2017-1119011,2017/5/26,2017/5/30,"Cardinal 打孔机, 回收",办公用品,装订机,孙荷,公司,中国,华东,上海,上海,标准级,544,109,0%,4
CN-2017-1510100,2017/5/26,2017/5/30,"Fellowes 盘, 蓝色",办公用品,收纳具,巩辉,消费者,中国,东北,沈阳,辽宁,标准级,"3,482",799,0%,13
CN-2017-2766233,2017/5/26,2017/6/1,"Stiletto 开信刀, 工业",办公用品,用品,李彩,消费者,中国,东北,哈尔滨,黑龙江,标准级,700,63,0%,5
CN-2017-2872339,2017/5/26,2017/6/1,"Hamilton Beach 搅拌机, 红色",办公用品,器具,龙谦,消费者,中国,华东,泰兴,江苏,标准级,"1,392",-441,40%,7
CN-2017-2872339,2017/5/26,2017/6/1,"施乐 令, 多色",办公用品,纸张,龙谦,消费者,中国,华东,泰兴,江苏,标准级,130,5,0%,1
CN-2017-2766233,2017/5/26,2017/6/1,"Hon 沙滩椅, 可调",家具,椅子,李彩,消费者,中国,东北,哈尔滨,黑龙江,标准级,222,40,0%,1
CN-2017-2872339,2017/5/26,2017/6/1,"三星 耳机, 蓝色",技术,电话,龙谦,消费者,中国,华东,泰兴,江苏,标准级,615,-307,40%,3
CN-2017-2872339,2017/5/26,2017/6/1,"思科 耳机, 全尺寸",技术,电话,龙谦,消费者,中国,华东,泰兴,江苏,标准级,754,-51,40%,3
CN-2017-2872339,2017/5/26,2017/6/1,"冲电器 卡片打印机, 白色",技术,设备,龙谦,消费者,中国,华东,泰兴,江苏,标准级,"4,879",243,40%,10
CN-2017-3261036,2017/5/27,2017/5/31,"Elite 大剪刀, 蓝色",办公用品,用品,郝婷,消费者,中国,中南,洛阳,河南,二级,439,162,0%,2
CN-2017-5468349,2017/5/27,2017/5/31,"Dania 古典书架, 白色",家具,书架,马晨,公司,中国,华东,济南,山东,标准级,"3,857",848,0%,2
CN-2017-5468349,2017/5/27,2017/5/31,"Enermax 路由器, 可编程",技术,配件,马晨,公司,中国,华东,济南,山东,标准级,"3,638","1,091",0%,3
US-2017-2776676,2017/5/27,2017/6/1,"Cuisinart 冰箱, 白色",办公用品,器具,俞丹,消费者,中国,东北,沈阳,辽宁,标准级,"1,384",-692,40%,1
US-2017-2776676,2017/5/27,2017/6/1,"KitchenAid 微波炉, 银色",办公用品,器具,俞丹,消费者,中国,东北,沈阳,辽宁,标准级,"6,968","-1,046",40%,8
US-2017-2776676,2017/5/27,2017/6/1,"OIC 订书钉, 每包 12 个",办公用品,系固件,俞丹,消费者,中国,东北,沈阳,辽宁,标准级,90,-5,40%,3
US-2017-2776676,2017/5/27,2017/6/1,"Office Star 折叠椅, 可调",家具,椅子,俞丹,消费者,中国,东北,沈阳,辽宁,标准级,"2,374","-1,029",40%,9
CN-2017-2831197,2017/5/27,2017/6/1,"诺基亚 充电器, 整包",技术,电话,周诚,消费者,中国,华东,潍坊,山东,标准级,"11,875","3,918",0%,4
CN-2017-2720607,2017/5/27,2017/6/2,"佳能 传真机, 数字化",技术,复印机,严诚,公司,中国,华东,蚌埠,安徽,标准级,"2,968",831,0%,2
CN-2017-5504068,2017/5/27,2017/6/2,"Brother 墨水, 数字化",技术,复印机,万冬露,消费者,中国,中南,广州,广东,标准级,"4,114","1,851",0%,6
US-2017-1384966,2017/5/28,2017/5/30,"OIC 图钉, 金属",办公用品,系固件,秦诚,公司,中国,东北,鞍山,辽宁,二级,79,-7,40%,2
CN-2017-1182921,2017/5/28,2017/5/30,"Tenex 盒, 单宽度",办公用品,收纳具,廖松,消费者,中国,华东,潍坊,山东,二级,77,36,0%,1
CN-2017-1182921,2017/5/28,2017/5/30,"Fiskars 剪刀, 蓝色",办公用品,用品,廖松,消费者,中国,华东,潍坊,山东,二级,540,64,0%,5
CN-2017-4092793,2017/5/28,2017/5/30,"Dania 墙角架, 黑色",家具,书架,彭娜,消费者,中国,华东,潍坊,山东,一级,"1,728",311,0%,3
CN-2017-4092793,2017/5/28,2017/5/30,"Office Star 折叠椅, 可调",家具,椅子,彭娜,消费者,中国,华东,潍坊,山东,一级,"3,077",430,0%,7
US-2017-1384966,2017/5/28,2017/5/30,"思科 耳机, 蓝色",技术,电话,秦诚,公司,中国,东北,鞍山,辽宁,二级,"2,476",288,40%,10
CN-2017-4092793,2017/5/28,2017/5/30,"柯尼卡 计算器, 多色",技术,设备,彭娜,消费者,中国,华东,潍坊,山东,一级,482,5,0%,2
CN-2017-1502527,2017/5/28,2017/6/1,"Novimex 可去除的标签, 可调",办公用品,标签,何安,小型企业,中国,中南,钟祥,湖北,二级,218,6,0%,6
CN-2017-1502527,2017/5/28,2017/6/1,"Wilson Jones 打孔机, 回收",办公用品,装订机,何安,小型企业,中国,中南,钟祥,湖北,二级,79,-4,40%,1
CN-2017-1815663,2017/5/28,2017/6/1,"Rogers 文件夹, 工业",办公用品,收纳具,万冬露,消费者,中国,华北,锡林浩特,内蒙古,标准级,"1,018",112,0%,7
CN-2017-3074981,2017/5/28,2017/6/1,"Dania 搁架, 传统",家具,书架,黄婷,消费者,中国,中南,韶关,广东,二级,"6,322","2,149",0%,8
CN-2017-3172853,2017/5/28,2017/6/2,"Harbour Creations 有色标签, 可调",办公用品,标签,熊丽,公司,中国,西北,西宁,青海,二级,302,45,0%,6
CN-2017-4318875,2017/5/28,2017/6/2,"Eldon 盘, 蓝色",办公用品,收纳具,巩光,消费者,中国,华东,义乌,浙江,标准级,448,36,0%,2
CN-2017-2257547,2017/5/28,2017/6/2,"Breville 烤面包机, 白色",办公用品,器具,邢毅,消费者,中国,华北,唐山,河北,标准级,"3,842","1,498",0%,11
CN-2017-4318875,2017/5/28,2017/6/2,"SAFCO 折叠椅, 红色",家具,椅子,巩光,消费者,中国,华东,义乌,浙江,标准级,240,-88,40%,1
CN-2017-4318875,2017/5/28,2017/6/2,"SanDisk 记忆卡, 实惠",技术,配件,巩光,消费者,中国,华东,义乌,浙江,标准级,944,-315,40%,3
CN-2017-4318875,2017/5/28,2017/6/2,"罗技 路由器, 耐用",技术,配件,巩光,消费者,中国,华东,义乌,浙江,标准级,"4,852","-1,617",40%,7
CN-2017-2633315,2017/5/28,2017/6/3,"Harbour Creations 可去除的标签, 可调",办公用品,标签,殷昌,消费者,中国,中南,焦作,河南,标准级,193,21,0%,5
CN-2017-2633315,2017/5/28,2017/6/3,"OIC 订书钉, 整包",办公用品,系固件,殷昌,消费者,中国,中南,焦作,河南,标准级,106,29,0%,2
CN-2017-2633315,2017/5/28,2017/6/3,"BIC 钢笔, 蓝色",办公用品,美术,殷昌,消费者,中国,中南,焦作,河南,标准级,107,33,20%,2
CN-2017-2633315,2017/5/28,2017/6/3,"Office Star 凳子, 可调",家具,椅子,殷昌,消费者,中国,中南,焦作,河南,标准级,"2,223",420,10%,3
US-2017-2245112,2017/5/29,2017/5/30,"Elite 修剪器, 蓝色",办公用品,用品,陶莞颖,消费者,中国,中南,武汉,湖北,一级,233,-105,40%,2
US-2017-2245112,2017/5/29,2017/5/30,"Kleencut 大剪刀, 钢",办公用品,用品,陶莞颖,消费者,中国,中南,武汉,湖北,一级,388,32,40%,3
CN-2017-4178476,2017/5/29,2017/5/31,"Rubvermaid 框架, 一包多件",家具,用具,李蔓楚,小型企业,中国,华东,泉州,福建,二级,"3,079","1,539",0%,6
CN-2017-4178476,2017/5/29,2017/5/31,"Rubvermaid 相框, 黑色",家具,用具,李蔓楚,小型企业,中国,华东,泉州,福建,二级,725,50,0%,3
US-2017-5252007,2017/5/29,2017/6/2,"Sanford 画布, 整包",办公用品,美术,杨欢,公司,中国,中南,汕头,广东,标准级,"1,138",-185,20%,6
CN-2017-3232413,2017/5/29,2017/6/3,"Acco 孔加固材料, 回收",办公用品,装订机,肖岱,公司,中国,中南,鄂州,湖北,标准级,59,-38,40%,3
US-2017-3847012,2017/5/29,2017/6/3,"Hoover 微波炉, 白色",办公用品,器具,武明媚,消费者,中国,东北,开原,辽宁,标准级,"2,577",-86,40%,3
CN-2017-2267443,2017/5/29,2017/6/3,"Breville 微波炉, 银色",办公用品,器具,罗霖,消费者,中国,东北,鞍山,辽宁,标准级,"2,541","-1,398",40%,3
US-2017-3847012,2017/5/29,2017/6/3,"Avery 合法证物标签, 红色",办公用品,标签,武明媚,消费者,中国,东北,开原,辽宁,标准级,156,17,0%,3
US-2017-3847012,2017/5/29,2017/6/3,"Fiskars 开信刀, 蓝色",办公用品,用品,武明媚,消费者,中国,东北,开原,辽宁,标准级,313,-94,40%,4
US-2017-3847012,2017/5/29,2017/6/3,"Stiletto 剪刀, 锯齿状",办公用品,用品,武明媚,消费者,中国,东北,开原,辽宁,标准级,114,15,40%,2
US-2017-3847012,2017/5/29,2017/6/3,"Cardinal 标签, 实惠",办公用品,装订机,武明媚,消费者,中国,东北,开原,辽宁,标准级,41,-10,40%,2
CN-2017-3232413,2017/5/29,2017/6/3,"Novimex 摇椅, 可调",家具,椅子,肖岱,公司,中国,中南,鄂州,湖北,标准级,"1,125",-582,40%,3
US-2017-4870971,2017/5/29,2017/6/5,"Acme 修剪器, 工业",办公用品,用品,王嘉丽,公司,中国,东北,抚顺,辽宁,标准级,776,-143,40%,6
US-2017-4870971,2017/5/29,2017/6/5,"Hon 扶手椅, 可调",家具,椅子,王嘉丽,公司,中国,东北,抚顺,辽宁,标准级,"5,148","-2,746",40%,4
CN-2017-2664017,2017/5/30,2017/6/1,"Novimex 圆形标签, 红色",办公用品,标签,罗霖,消费者,中国,中南,洛阳,广东,一级,85,38,0%,3
CN-2017-2664017,2017/5/30,2017/6/1,"Stockwell 夹子, 混合尺寸",办公用品,系固件,罗霖,消费者,中国,中南,洛阳,广东,一级,456,205,0%,6
CN-2017-2664017,2017/5/30,2017/6/1,"Ibico 订书机, 透明",办公用品,装订机,罗霖,消费者,中国,中南,洛阳,广东,一级,712,328,0%,3
CN-2017-2575295,2017/5/30,2017/6/2,"Avery 装订机盖, 实惠",办公用品,装订机,彭娜,消费者,中国,华北,秦皇岛,河北,一级,258,15,0%,5
CN-2017-2575295,2017/5/30,2017/6/2,"Safco 书架, 白色",家具,书架,彭娜,消费者,中国,华北,秦皇岛,河北,一级,"3,535","1,449",0%,5
CN-2017-4046246,2017/5/30,2017/6/3,"OIC 回形针, 金属",办公用品,系固件,邹伟,消费者,中国,中南,浯溪,湖南,标准级,204,26,0%,3
CN-2017-4046246,2017/5/30,2017/6/3,"Deflect-O 灯泡, 黑色",家具,用具,邹伟,消费者,中国,中南,浯溪,湖南,标准级,266,61,0%,3
CN-2017-2366851,2017/5/31,2017/6/4,"Advantus 门挡, 黑色",家具,用具,贾伟,消费者,中国,中南,洛阳,河南,标准级,"1,051",179,0%,5
CN-2017-2267443,2017/6/1,2017/6/4,"Sauder 古典书架, 黑色",家具,书架,殷菊,消费者,中国,华东,宿州,安徽,一级,"4,082","1,306",0%,2
US-2017-4769676,2017/6/1,2017/6/4,"惠普 墨水, 数字化",技术,复印机,白婵,公司,中国,华东,莆田,福建,一级,"2,995","1,168",0%,5
CN-2017-3231478,2017/6/1,2017/6/4,"冲电器 卡片打印机, 白色",技术,设备,武明媚,消费者,中国,华东,镇江,江苏,一级,976,49,40%,2
CN-2017-2267443,2017/6/1,2017/6/4,"SanDisk 键区, 耐用",技术,配件,殷菊,消费者,中国,华东,宿州,安徽,一级,778,264,0%,3
CN-2017-5278404,2017/6/1,2017/6/5,"Kraft 局间信封, 回收",办公用品,信封,李彩,消费者,中国,华东,滕州,山东,标准级,"1,067",298,0%,5
CN-2017-5278404,2017/6/1,2017/6/5,"Office Star 椅垫, 红色",家具,椅子,李彩,消费者,中国,华东,滕州,山东,标准级,307,12,0%,1
CN-2017-5278404,2017/6/1,2017/6/5,"苹果 信号增强器, 整包",技术,电话,李彩,消费者,中国,华东,滕州,山东,标准级,"6,381","1,467",0%,10
CN-2017-5801711,2017/6/1,2017/6/6,"惠普 墨水, 红色",技术,复印机,康青,消费者,中国,东北,哈尔滨,黑龙江,标准级,"2,369",640,0%,4
CN-2017-2303851,2017/6/2,2017/6/6,"Fellowes 锁柜, 工业",办公用品,收纳具,钱珊,公司,中国,华东,烟台,山东,标准级,"1,940",931,0%,2
US-2017-5353587,2017/6/2,2017/6/6,"GlobeWeis 局间信封, 回收",办公用品,信封,叶立勤,公司,中国,华北,太原,山西,标准级,870,304,0%,4
US-2017-5353587,2017/6/2,2017/6/6,"Stockwell 图钉, 混合尺寸",办公用品,系固件,叶立勤,公司,中国,华北,太原,山西,标准级,198,16,0%,4
US-2017-5353587,2017/6/2,2017/6/6,"Stanley 记号笔, 金属",办公用品,美术,叶立勤,公司,中国,华北,太原,山西,标准级,328,6,0%,3
CN-2017-2688173,2017/6/2,2017/6/6,"Fellowes 锁柜, 金属",办公用品,收纳具,殷宣,消费者,中国,西北,西宁,青海,二级,"4,816",48,0%,5
US-2017-5495957,2017/6/2,2017/6/6,"SanDisk 令, 优质",办公用品,纸张,毛刚,消费者,中国,华东,启东,江苏,标准级,417,117,0%,3
CN-2017-2688173,2017/6/2,2017/6/6,"Office Star 摇椅, 红色",家具,椅子,殷宣,消费者,中国,西北,西宁,青海,二级,"2,630",157,0%,4
US-2017-5495957,2017/6/2,2017/6/6,"Harbour Creations 椅垫, 可调",家具,椅子,毛刚,消费者,中国,华东,启东,江苏,标准级,"1,043",104,40%,5
US-2017-5495957,2017/6/2,2017/6/6,"Advantus 闹钟, 耐用",家具,用具,毛刚,消费者,中国,华东,启东,江苏,标准级,678,-68,40%,5
US-2017-5353587,2017/6/2,2017/6/6,"摩托罗拉 音频基座, 全尺寸",技术,电话,叶立勤,公司,中国,华北,太原,山西,标准级,"3,260","1,043",0%,4
CN-2017-2688173,2017/6/2,2017/6/6,"爱普生 打印机, 多色",技术,设备,殷宣,消费者,中国,西北,西宁,青海,二级,"4,902",392,0%,4
CN-2017-5488732,2017/6/2,2017/6/7,"Enermax 羊皮纸, 多色",办公用品,纸张,郝廉,消费者,中国,中南,云阳,河南,二级,157,59,0%,2
CN-2017-5579550,2017/6/3,2017/6/3,"Acco 装订机, 回收",办公用品,装订机,佘虢,公司,中国,中南,江门,广东,当日,290,130,0%,4
CN-2017-3360468,2017/6/3,2017/6/3,"Smead 运输标签, 红色",办公用品,标签,叶实,公司,中国,华东,潍坊,山东,当日,107,47,0%,2
CN-2017-5266113,2017/6/3,2017/6/3,"Stanley 铅笔刀, 整包",办公用品,美术,彭虹,消费者,中国,华北,汉沽,天津,当日,234,75,0%,2
CN-2017-5579550,2017/6/3,2017/6/3,"Hon 会议桌, 白色",家具,桌子,佘虢,公司,中国,中南,江门,广东,当日,"12,931",0,25%,4
CN-2017-5579550,2017/6/3,2017/6/3,"SanDisk 记忆卡, 可编程",技术,配件,佘虢,公司,中国,中南,江门,广东,当日,"2,658",983,0%,5
CN-2017-3798503,2017/6/3,2017/6/5,"Kraft 商业信封, 红色",办公用品,信封,彭欢,公司,中国,华东,温州,浙江,二级,466,46,0%,5
CN-2017-2292031,2017/6/3,2017/6/5,"SanDisk 备忘录便条, 多色",办公用品,纸张,潘惠,消费者,中国,东北,吉林市,吉林,一级,172,53,0%,2
US-2017-3139690,2017/6/3,2017/6/5,"Fellowes 锁柜, 工业",办公用品,收纳具,廖保,消费者,中国,中南,深圳,广东,一级,"1,940",931,0%,2
CN-2017-2919347,2017/6/3,2017/6/5,"Eldon 分层置放架, 一包多件",家具,用具,郭刚,公司,中国,中南,焦作,河南,二级,295,38,0%,2
CN-2017-3798503,2017/6/3,2017/6/5,"Office Star 摇椅, 黑色",家具,椅子,彭欢,公司,中国,华东,温州,浙江,二级,775,103,40%,2
CN-2017-3798503,2017/6/3,2017/6/5,"Eldon 框架, 优质",家具,用具,彭欢,公司,中国,华东,温州,浙江,二级,965,96,40%,3
CN-2017-5592498,2017/6/3,2017/6/7,"Smead 文件车, 单宽度",办公用品,收纳具,钱伟,公司,中国,华东,大同,安徽,标准级,"2,997",988,0%,5
CN-2017-3902607,2017/6/3,2017/6/7,"Avery 标签, 耐用",办公用品,装订机,邢伟,消费者,中国,东北,沈阳,辽宁,标准级,66,-23,40%,3
CN-2017-2699733,2017/6/3,2017/6/7,"Wilson Jones 订书机, 耐用",办公用品,装订机,陈磊,消费者,中国,东北,阿城,黑龙江,标准级,471,169,0%,2
CN-2017-5592498,2017/6/3,2017/6/7,"惠普 传真复印机, 彩色",技术,复印机,钱伟,公司,中国,华东,大同,安徽,标准级,"1,627",553,0%,2
CN-2017-5950580,2017/6/3,2017/6/9,"Deflect-O 框架, 一包多件",家具,用具,郝立勤,消费者,中国,中南,东莞,广东,标准级,"2,569",436,0%,5
US-2017-3174894,2017/6/3,2017/6/10,"Hon 可去除的标签, 白色",办公用品,标签,柯强,消费者,中国,华东,苏州,江苏,标准级,192,7,0%,4
US-2017-3174894,2017/6/3,2017/6/10,"Advantus 分层置放架, 耐用",家具,用具,柯强,消费者,中国,华东,苏州,江苏,标准级,328,-50,40%,5
CN-2017-2828219,2017/6/4,2017/6/6,"Safco 柜, 黑色",家具,书架,楚虢,消费者,中国,华东,芜湖,安徽,二级,"1,588",143,0%,2
CN-2017-2828219,2017/6/4,2017/6/6,"Enermax 鼠标, 可编程",技术,配件,楚虢,消费者,中国,华东,芜湖,安徽,二级,195,12,0%,1
CN-2017-5008743,2017/6/4,2017/6/7,"Acco 孔加固材料, 透明",办公用品,装订机,杨立勤,公司,中国,华东,厦门,福建,一级,200,89,0%,7
CN-2017-4850175,2017/6/4,2017/6/7,"Accos 夹子, 整包",办公用品,系固件,田立,消费者,中国,东北,朝阳,辽宁,二级,163,-84,40%,3
CN-2017-5008743,2017/6/4,2017/6/7,"Dania 书架, 白色",家具,书架,杨立勤,公司,中国,华东,厦门,福建,一级,"4,633",880,0%,8
CN-2017-5008743,2017/6/4,2017/6/7,"Safco 柜, 传统",家具,书架,杨立勤,公司,中国,华东,厦门,福建,一级,"1,576",725,0%,2
CN-2017-5008743,2017/6/4,2017/6/7,"三星 耳机, 混合尺寸",技术,电话,杨立勤,公司,中国,华东,厦门,福建,一级,"1,065",117,0%,3
CN-2017-3693425,2017/6/4,2017/6/8,"Jiffy 商业信封, 红色",办公用品,信封,吕君,消费者,中国,华东,上海,上海,标准级,182,89,0%,2
CN-2017-2577941,2017/6/4,2017/6/8,"Elite 尺子, 锯齿状",办公用品,用品,夏平,消费者,中国,华东,大同,安徽,标准级,196,57,0%,4
CN-2017-3693425,2017/6/4,2017/6/8,"Binney & Smith 钢笔, 金属",办公用品,美术,吕君,消费者,中国,华东,上海,上海,标准级,185,9,0%,3
CN-2017-1255631,2017/6/4,2017/6/9,"Smead 锁柜, 金属",办公用品,收纳具,袁丽美,小型企业,中国,华北,太原,山西,标准级,"5,530","2,599",0%,6
CN-2017-2210906,2017/6/4,2017/6/11,"Cameo 外皮和封条, 回收",办公用品,信封,涂辉,小型企业,中国,华北,通辽,内蒙古,标准级,92,27,0%,1
CN-2017-2210906,2017/6/4,2017/6/11,"Eaton 计划信息表, 回收",办公用品,纸张,涂辉,小型企业,中国,华北,通辽,内蒙古,标准级,287,26,0%,3
CN-2017-2210906,2017/6/4,2017/6/11,"Eldon 闹钟, 耐用",家具,用具,涂辉,小型企业,中国,华北,通辽,内蒙古,标准级,450,-173,40%,3
CN-2017-2210906,2017/6/4,2017/6/11,"Hewlett 墨水, 每套两件",技术,复印机,涂辉,小型企业,中国,华北,通辽,内蒙古,标准级,"1,665",-111,40%,4
US-2017-5353587,2017/6/5,2017/6/5,"Hamilton Beach 烤面包机, 黑色",办公用品,器具,葛彩,消费者,中国,中南,新乡,河南,当日,"1,329",319,0%,5
US-2017-5353587,2017/6/5,2017/6/5,"Smead 文件车, 单宽度",办公用品,收纳具,葛彩,消费者,中国,中南,新乡,河南,当日,"1,199",395,0%,2
US-2017-3378788,2017/6/5,2017/6/7,"Acco 装订机, 耐用",办公用品,装订机,佘宁,消费者,中国,华东,苏州,江苏,一级,326,-61,40%,7
US-2017-5591357,2017/6/5,2017/6/7,"Hon 沙滩椅, 可调",家具,椅子,巩德,小型企业,中国,中南,襄樊,湖北,一级,800,-294,40%,6
US-2017-4482834,2017/6/5,2017/6/9,"SAFCO 凳子, 黑色",家具,椅子,马丽娜,消费者,中国,华东,厦门,福建,标准级,772,123,0%,1
CN-2017-4591322,2017/6/5,2017/6/10,"Smead 盒, 单宽度",办公用品,收纳具,徐黎明,公司,中国,华东,景德镇,江西,标准级,252,111,0%,5
US-2017-1610589,2017/6/5,2017/6/10,"Binney & Smith 画布, 金属",办公用品,美术,贾彩,公司,中国,华东,福州,福建,标准级,491,34,0%,2
US-2017-5235171,2017/6/5,2017/6/10,"Ibico 孔加固材料, 回收",办公用品,装订机,陈昌,消费者,中国,华东,界首,安徽,标准级,137,46,0%,4
